method,algorithm,seed,scenario,safety_mode,episodes,raw_mean_episode_hard_safety_cost,mean_episode_cost_eur,cvar90_episode_cost_eur,mean_episode_safety_cost,mean_episode_hard_safety_cost,unsafe_episode_rate,mean_projection_distance_l2,mean_weighted_projection_distance,mean_decision_time_ms,intervention_rate,pass_through_rate,partial_projection_rate,full_projection_rate
cql_ood_warning,cql,3,cold_wave_extreme,ood_warning,1,58.798836587056094,485180.39081796975,485180.39081796975,64.19225476407324,58.798836587056094,1.0,0.0,0.0,0.228629166668289,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,cold_wave_extreme,fixed,1,59.140347253830384,16570.225728284862,16570.225728284862,16.92071942207161,2.6741219727455245e-07,0.0,0.6019533487657706,0.5709030292171445,124.43995833333452,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
cql_adaptive_safety,cql,3,cold_wave_extreme,adaptive,1,59.06912846756546,16221.172850895624,16221.172850895624,7.345435053173931,7.60699965240974e-08,0.0,0.5297051932041844,0.5020794827757826,154.60890416666473,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
cql,cql,3,compound_extreme,none,1,73.29592317535578,608418.6652382533,608418.6652382533,76.3527812730184,73.29592317535578,1.0,0.0,0.0,0.25658333332856387,0.0,1.0,0.0,0.0
cql_ood_warning,cql,3,compound_extreme,ood_warning,1,73.29592317535578,608418.6652382533,608418.6652382533,76.3527812730184,73.29592317535578,1.0,0.0,0.0,0.25244999999903445,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,3,compound_extreme,fixed,1,74.00845873736793,25557.678387371903,25557.678387371903,30.926611604611896,2.9649729782477152e-08,0.0,0.7377055498460928,0.6925816596835365,109.81249583333506,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334
cql_adaptive_safety,cql,3,compound_extreme,adaptive,1,73.99945340832005,25038.110574968807,25038.110574968807,16.68022049192825,6.649746531195433e-08,0.0,0.6278405776247382,0.5875076661130771,128.8250083333343,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0
cql,cql,4,in_distribution,none,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,0.2770750000019954,0.0,1.0,0.0,0.0
cql_ood_warning,cql,4,in_distribution,ood_warning,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,0.2579416666641521,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,4,in_distribution,fixed,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,387.35885000000417,0.0,1.0,0.0,0.0
cql_adaptive_safety,cql,4,in_distribution,adaptive,1,0.0,14050.04852824272,14050.04852824272,55.07277028119787,0.0,0.0,0.0,0.0,398.62784166667,0.0,1.0,0.0,0.0
cql,cql,4,load_up_20,none,1,4.565527825780553,53705.30469698975,53705.30469698975,32.37367040415434,4.565527825780553,1.0,0.0,0.0,0.2310333333367017,0.0,1.0,0.0,0.0
cql_ood_warning,cql,4,load_up_20,ood_warning,1,4.565527825780553,53705.30469698975,53705.30469698975,32.37367040415434,4.565527825780553,1.0,0.0,0.0,0.2640166666682357,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,4,load_up_20,fixed,1,6.282210690147515,18027.79941203066,18027.79941203066,50.369742029640705,0.0,0.0,0.22193137649446726,0.21048640749688377,251.38278333333378,0.4166666666666667,0.5833333333333334,0.0,0.4166666666666667
cql_adaptive_safety,cql,4,load_up_20,adaptive,1,5.427304976180073,17422.710698486524,17422.710698486524,31.215706695523487,3.272091753103723e-08,0.0,0.07440280759086211,0.0710969628320863,256.6548333333323,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.0
cql,cql,4,cold_wave_extreme,none,1,39.93662617795296,334811.92877881473,334811.92877881473,54.87729090339205,39.93662617795296,1.0,0.0,0.0,0.24474583333973973,0.0,1.0,0.0,0.0
cql_ood_warning,cql,4,cold_wave_extreme,ood_warning,1,39.93662617795296,334811.92877881473,334811.92877881473,54.87729090339205,39.93662617795296,1.0,0.0,0.0,0.25405833333162303,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,4,cold_wave_extreme,fixed,1,42.50275305765542,16697.046640536293,16697.046640536293,23.386354921472567,2.715682221321458e-07,0.0,0.45845286672314006,0.4422831367915075,149.6258541666672,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
cql_adaptive_safety,cql,4,cold_wave_extreme,adaptive,1,41.581019230455176,16422.62192026481,16422.62192026481,16.372814472632857,4.631605410310158e-07,0.0,0.40505549125373363,0.3917076160368748,168.27442916666513,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
cql,cql,4,compound_extreme,none,1,54.843862227793736,461272.4489659806,461272.4489659806,65.31548496264196,54.843862227793736,1.0,0.0,0.0,0.2406708333306066,0.0,1.0,0.0,0.0
cql_ood_warning,cql,4,compound_extreme,ood_warning,1,54.843862227793736,461272.4489659806,461272.4489659806,65.31548496264196,54.843862227793736,1.0,0.0,0.0,0.30388333333656686,0.0,1.0,0.0,0.0
cql_fixed_safety,cql,4,compound_extreme,fixed,1,58.306063016585526,25553.580634329137,25553.580634329137,31.34816974890158,8.290973951829983e-08,0.0,0.5904973012705644,0.5594806298642753,134.1831625,0.75,0.25,0.0,0.75
cql_adaptive_safety,cql,4,compound_extreme,adaptive,1,57.506271326066155,25153.21053298668,25153.21053298668,21.519499752524393,3.9404300267165127e-08,0.0,0.5170647380873561,0.4902340486260795,151.05043750000152,0.75,0.25,0.75,0.0
iql,iql,0,in_distribution,none,1,1.619146426514611,26435.75981791028,26435.75981791028,38.39815440872904,1.619146426514611,1.0,0.0,0.0,0.278108333330825,0.0,1.0,0.0,0.0
iql_ood_warning,iql,0,in_distribution,ood_warning,1,1.619146426514611,26435.75981791028,26435.75981791028,38.39815440872904,1.619146426514611,1.0,0.0,0.0,0.3052125000048515,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,0,in_distribution,fixed,1,1.6815461625614017,13489.525683383623,13489.525683383623,37.83624333957434,0.0,0.0,0.03165920699636141,0.030786522227691515,375.36372916666966,0.125,0.875,0.0,0.125
iql_adaptive_safety,iql,0,in_distribution,adaptive,1,1.6603533183493457,13488.587505364481,13488.587505364481,36.53377234848378,0.0,0.0,0.016044537847240765,0.015645013241818405,377.8654374999988,0.125,0.875,0.125,0.0
iql,iql,0,load_up_20,none,1,15.157686166871844,137621.48849236677,137621.48849236677,31.132955814037185,15.157686166871844,1.0,0.0,0.0,0.2656499999957873,0.0,1.0,0.0,0.0
iql_ood_warning,iql,0,load_up_20,ood_warning,1,15.157686166871844,137621.48849236677,137621.48849236677,31.132955814037185,15.157686166871844,1.0,0.0,0.0,0.25730833333644415,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,0,load_up_20,fixed,1,18.73414983593869,18041.477474567295,18041.477474567295,52.31556126014838,0.0,0.0,0.409855820859472,0.39069133357856095,162.7582666666688,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
iql_adaptive_safety,iql,0,load_up_20,adaptive,1,17.58021302848056,17129.58547059776,17129.58547059776,23.01696748529139,4.640892647955752e-08,0.0,0.1977810563209156,0.18394160596767742,182.54878333333124,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
iql,iql,0,cold_wave_extreme,none,1,53.222914895261034,440175.72332876915,440175.72332876915,59.30583561805028,53.222914895261034,1.0,0.0,0.0,0.281620833324799,0.0,1.0,0.0,0.0
iql_ood_warning,iql,0,cold_wave_extreme,ood_warning,1,53.222914895261034,440175.72332876915,440175.72332876915,59.30583561805028,53.222914895261034,1.0,0.0,0.0,0.24222083333332498,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,0,cold_wave_extreme,fixed,1,57.96312811396744,17252.222296635468,17252.222296635468,30.976975247381816,1.3835544443452363e-07,0.0,0.6265607333431641,0.6013348546315926,139.98246666667313,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
iql_adaptive_safety,iql,0,cold_wave_extreme,adaptive,1,57.346150709592884,16470.55303677338,16470.55303677338,10.889054091650788,2.4483897931304455e-07,0.0,0.4809866913904746,0.4599458168161221,166.83938750000019,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
iql,iql,0,compound_extreme,none,1,70.83285478555189,588247.2260512327,588247.2260512327,74.33538719402536,70.83285478555189,1.0,0.0,0.0,0.26185833333395675,0.0,1.0,0.0,0.0
iql_ood_warning,iql,0,compound_extreme,ood_warning,1,70.83285478555189,588247.2260512327,588247.2260512327,74.33538719402536,70.83285478555189,1.0,0.0,0.0,0.24155416666834148,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,0,compound_extreme,fixed,1,75.23746200972575,25311.02028622482,25311.02028622482,27.496580724175807,0.0,0.0,0.6997907341768345,0.6785813845229764,133.54460833332382,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334
iql_adaptive_safety,iql,0,compound_extreme,adaptive,1,74.91163554216774,24943.325630087445,24943.325630087445,18.004859262164473,0.0,0.0,0.629539410273234,0.6106782816814628,135.8340541666673,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0
iql,iql,1,in_distribution,none,1,2.1958723740717963,31605.26299845305,31605.26299845305,38.50969196669374,2.1958723740717963,1.0,0.0,0.0,0.2498416666725234,0.0,1.0,0.0,0.0
iql_ood_warning,iql,1,in_distribution,ood_warning,1,2.1958723740717963,31605.26299845305,31605.26299845305,38.50969196669374,2.1958723740717963,1.0,0.0,0.0,0.2605083333312071,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,1,in_distribution,fixed,1,2.2292358825049003,14215.073963960687,14215.073963960687,39.02760461950981,0.0,0.0,0.04230572593708833,0.04147229566543132,357.49005000000506,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666
iql_adaptive_safety,iql,1,in_distribution,adaptive,1,2.2195348763904157,14143.423661122639,14143.423661122639,37.19906286210354,0.0,0.0,0.02654429292306304,0.026067424396662528,360.6885041666624,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0
iql,iql,1,load_up_20,none,1,16.502786019100824,149201.6671125104,149201.6671125104,35.19987868648876,16.502786019100824,1.0,0.0,0.0,0.2266708333375315,0.0,1.0,0.0,0.0
iql_ood_warning,iql,1,load_up_20,ood_warning,1,16.502786019100824,149201.6671125104,149201.6671125104,35.19987868648876,16.502786019100824,1.0,0.0,0.0,0.23935833332681491,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,1,load_up_20,fixed,1,19.192795729111015,18777.55216463771,18777.55216463771,60.07898713512404,0.0,0.0,0.44915806502103806,0.4247231727382587,159.28696249999774,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
iql_adaptive_safety,iql,1,load_up_20,adaptive,1,19.037973348642762,17940.807040097792,17940.807040097792,27.042537684616484,0.0,0.0,0.19235270811865726,0.18244185884451927,179.2304000000016,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
iql,iql,1,cold_wave_extreme,none,1,52.93144203445614,438694.00107509433,438694.00107509433,61.80724641551335,52.93144203445614,1.0,0.0,0.0,0.25156666666485233,0.0,1.0,0.0,0.0
iql_ood_warning,iql,1,cold_wave_extreme,ood_warning,1,52.93144203445614,438694.00107509433,438694.00107509433,61.80724641551335,52.93144203445614,1.0,0.0,0.0,0.2681916666560369,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,1,cold_wave_extreme,fixed,1,56.2595063651092,18425.992941527344,18425.992941527344,43.00822620936506,0.0,0.0,0.6679188689837853,0.6298972659853548,164.28277499999666,0.75,0.25,0.0,0.75
iql_adaptive_safety,iql,1,cold_wave_extreme,adaptive,1,56.03075585236025,17464.401756907668,17464.401756907668,17.07614353915239,0.0,0.0,0.46890434715896845,0.4412059506341124,154.03827499999542,0.75,0.25,0.75,0.0
iql,iql,1,compound_extreme,none,1,66.89604603514705,557572.3422859982,557572.3422859982,73.42905858486044,66.89604603514705,1.0,0.0,0.0,0.26934166666118625,0.0,1.0,0.0,0.0
iql_ood_warning,iql,1,compound_extreme,ood_warning,1,66.89604603514705,557572.3422859982,557572.3422859982,73.42905858486044,66.89604603514705,1.0,0.0,0.0,0.26460416666888403,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,1,compound_extreme,fixed,1,70.43312426444247,25773.035837611245,25773.035837611245,29.542009219317837,0.0,0.0,0.6896363838265339,0.6530192402097159,129.9492750000013,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
iql_adaptive_safety,iql,1,compound_extreme,adaptive,1,69.3709467021184,25010.746681625704,25010.746681625704,16.60508873670085,3.618292083729102e-07,0.0,0.5943060604234537,0.5581542012247839,192.12588333333497,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
iql,iql,2,in_distribution,none,1,3.2582674656129074,39482.323012040855,39482.323012040855,36.97002761166404,3.2582674656129074,1.0,0.0,0.0,0.2848750000007764,0.0,1.0,0.0,0.0
iql_ood_warning,iql,2,in_distribution,ood_warning,1,3.2582674656129074,39482.323012040855,39482.323012040855,36.97002761166404,3.2582674656129074,1.0,0.0,0.0,0.34726250000479314,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,2,in_distribution,fixed,1,3.2568590492075877,13561.732847241106,13561.732847241106,35.22226791774331,0.0,0.0,0.03947516282399496,0.03945609358259319,462.10807499999856,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666
iql_adaptive_safety,iql,2,in_distribution,adaptive,1,3.257077189541479,13519.838564951657,13519.838564951657,34.02345176445263,0.0,0.0,0.029498743669440348,0.02949282708750911,475.54859166666574,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0
iql,iql,2,load_up_20,none,1,21.53822920930667,188827.3415815998,188827.3415815998,40.240580161688214,21.53822920930667,1.0,0.0,0.0,0.29022083333766585,0.0,1.0,0.0,0.0
iql_ood_warning,iql,2,load_up_20,ood_warning,1,21.53822920930667,188827.3415815998,188827.3415815998,40.240580161688214,21.53822920930667,1.0,0.0,0.0,0.2579249999901852,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,2,load_up_20,fixed,1,23.04690232357742,18100.80048980454,18100.80048980454,53.96602045068742,3.1205199135797557e-07,0.0,0.45692650383959216,0.43442413494921955,162.09933333333262,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
iql_adaptive_safety,iql,2,load_up_20,adaptive,1,22.686994170249733,17252.215230842357,17252.215230842357,26.985173751524478,3.6277414849905654e-07,0.0,0.2648977320641279,0.25073965567972106,176.908691666668,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
iql,iql,2,cold_wave_extreme,none,1,59.740768629494525,492470.15043680265,492470.15043680265,69.44160934748355,59.740768629494525,1.0,0.0,0.0,0.2833833333374021,0.0,1.0,0.0,0.0
iql_ood_warning,iql,2,cold_wave_extreme,ood_warning,1,59.740768629494525,492470.15043680265,492470.15043680265,69.44160934748355,59.740768629494525,1.0,0.0,0.0,0.24375416666799765,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,2,cold_wave_extreme,fixed,1,61.50549302323107,16157.88683284118,16157.88683284118,16.12274836176732,2.560545571128614e-07,0.0,0.5568972689410051,0.5488857447542977,148.39285416666334,0.75,0.25,0.0,0.75
iql_adaptive_safety,iql,2,cold_wave_extreme,adaptive,1,61.53485071746624,15927.64067920003,15927.64067920003,10.029823365983805,3.1508630371490653e-07,0.0,0.5240111568321785,0.5132844809447255,165.6130333333389,0.75,0.25,0.75,0.0
iql,iql,2,compound_extreme,none,1,75.13813274772478,622909.9250809515,622909.9250809515,81.41257253535117,75.13813274772478,1.0,0.0,0.0,0.2741625000055592,0.0,1.0,0.0,0.0
iql_ood_warning,iql,2,compound_extreme,ood_warning,1,75.13813274772478,622909.9250809515,622909.9250809515,81.41257253535117,75.13813274772478,1.0,0.0,0.0,0.2732999999939996,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,2,compound_extreme,fixed,1,77.24271191284555,24730.877391521746,24730.877391521746,22.04580717920885,6.442382272098257e-08,0.0,0.7473655805612603,0.7254749990643368,129.05656666665757,0.7916666666666666,0.20833333333333334,0.0,0.7916666666666666
iql_adaptive_safety,iql,2,compound_extreme,adaptive,1,77.04558683572944,24433.948366038985,24433.948366038985,14.312292904525291,3.8621847053832425e-08,0.0,0.6896409462206066,0.6687195079281271,153.2751416666661,0.7916666666666666,0.20833333333333334,0.7916666666666666,0.0
iql,iql,3,in_distribution,none,1,12.560390397188929,113221.26030889885,113221.26030889885,27.036066176159146,12.560390397188929,1.0,0.0,0.0,0.30402500000311267,0.0,1.0,0.0,0.0
iql_ood_warning,iql,3,in_distribution,ood_warning,1,12.560390397188929,113221.26030889885,113221.26030889885,27.036066176159146,12.560390397188929,1.0,0.0,0.0,0.27783750000291246,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,3,in_distribution,fixed,1,11.656753513617183,13686.909982176028,13686.909982176028,34.53237332106977,0.0,0.0,0.20828256259361902,0.20404179191983207,313.4648749999987,0.5416666666666666,0.4583333333333333,0.0,0.5416666666666666
iql_adaptive_safety,iql,3,in_distribution,adaptive,1,12.238581188982092,13214.685962095968,13214.685962095968,17.723299301522214,0.0,0.0,0.1069972775876522,0.10547866332413415,325.7133708333342,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.0
iql,iql,3,load_up_20,none,1,38.77174931260067,325985.8423174241,325985.8423174241,45.08132593871672,38.77174931260067,1.0,0.0,0.0,0.27312083333441706,0.0,1.0,0.0,0.0
iql_ood_warning,iql,3,load_up_20,ood_warning,1,38.77174931260067,325985.8423174241,325985.8423174241,45.08132593871672,38.77174931260067,1.0,0.0,0.0,0.24157083333401866,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,3,load_up_20,fixed,1,35.958069840315645,16981.42923998972,16981.42923998972,30.732646199354974,1.455697091756747e-07,0.0,0.5492974581817786,0.5309775077694062,185.05635833332926,0.75,0.25,0.0,0.75
iql_adaptive_safety,iql,3,load_up_20,adaptive,1,36.45278820335058,16516.275646630416,16516.275646630416,14.287492958637813,2.9282069213820705e-07,0.0,0.39923514518886805,0.38726329192396497,208.3028125000013,0.75,0.25,0.75,0.0
iql,iql,3,cold_wave_extreme,none,1,79.16712890787402,647069.9098698766,647069.9098698766,80.29176653492183,79.16712890787402,1.0,0.0,0.0,0.2468833333300798,0.0,1.0,0.0,0.0
iql_ood_warning,iql,3,cold_wave_extreme,ood_warning,1,79.16712890787402,647069.9098698766,647069.9098698766,80.29176653492183,79.16712890787402,1.0,0.0,0.0,0.2622791666648065,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,3,cold_wave_extreme,fixed,1,76.35134952906705,16223.673147103935,16223.673147103935,15.871587185487428,8.148543173547296e-08,0.0,0.6836926924685637,0.6630816403267977,114.68355416665332,0.875,0.125,0.0,0.875
iql_adaptive_safety,iql,3,cold_wave_extreme,adaptive,1,76.38986621783252,16011.961915930327,16011.961915930327,9.020317875596476,6.121530837788214e-08,0.0,0.6356317115326723,0.6152036213200073,135.5629666666663,0.875,0.125,0.875,0.0
iql,iql,3,compound_extreme,none,1,96.65916369699595,794232.808796599,794232.808796599,96.65916369699595,96.65916369699595,1.0,0.0,0.0,0.2360083333314833,0.0,1.0,0.0,0.0
iql_ood_warning,iql,3,compound_extreme,ood_warning,1,96.65916369699595,794232.808796599,794232.808796599,96.65916369699595,96.65916369699595,1.0,0.0,0.0,0.21277083332904567,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,3,compound_extreme,fixed,1,94.41756209804917,24307.826638262402,24307.826638262402,20.906442590058017,1.0393079463710819e-07,0.0,0.8849940163393816,0.8622185052862738,47.805745833332004,1.0,0.0,0.0,1.0
iql_adaptive_safety,iql,3,compound_extreme,adaptive,1,94.60482629406553,23860.917117968864,23860.917117968864,8.154539139219846,6.86826258089468e-07,0.0,0.8019486914078394,0.7790344416352654,70.59654166666245,1.0,0.0,1.0,0.0
iql,iql,4,in_distribution,none,1,0.0,14423.17655372828,14423.17655372828,48.70935574381821,0.0,0.0,0.0,0.0,0.2937916666709839,0.0,1.0,0.0,0.0
iql_ood_warning,iql,4,in_distribution,ood_warning,1,0.0,14423.17655372828,14423.17655372828,48.70935574381821,0.0,0.0,0.0,0.0,0.3332583333251667,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,4,in_distribution,fixed,1,0.0,14423.17655372828,14423.17655372828,48.70935574381821,0.0,0.0,0.0,0.0,416.37917083333303,0.0,1.0,0.0,0.0
iql_adaptive_safety,iql,4,in_distribution,adaptive,1,0.0,14423.17655372828,14423.17655372828,48.70935574381821,0.0,0.0,0.0,0.0,422.88037916665644,0.0,1.0,0.0,0.0
iql,iql,4,load_up_20,none,1,8.646876888155116,86672.90058648516,86672.90058648516,33.04513933030699,8.646876888155116,1.0,0.0,0.0,0.24035833333139558,0.0,1.0,0.0,0.0
iql_ood_warning,iql,4,load_up_20,ood_warning,1,8.646876888155116,86672.90058648516,86672.90058648516,33.04513933030699,8.646876888155116,1.0,0.0,0.0,0.25295833332705797,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,4,load_up_20,fixed,1,10.831156310877024,18813.124988617794,18813.124988617794,58.30631800133677,0.0,0.0,0.33530164634188014,0.3178677425062671,193.78515833332463,0.625,0.375,0.0,0.625
iql_adaptive_safety,iql,4,load_up_20,adaptive,1,9.441643769623399,17875.439956513525,17875.439956513525,27.20772616782582,0.0,0.0,0.09186975207800667,0.08725328561556545,216.68600833333326,0.625,0.375,0.625,0.0
iql,iql,4,cold_wave_extreme,none,1,45.964572655371036,383205.851338966,383205.851338966,59.48384530211245,45.964572655371036,1.0,0.0,0.0,0.232462500001418,0.0,1.0,0.0,0.0
iql_ood_warning,iql,4,cold_wave_extreme,ood_warning,1,45.964572655371036,383205.851338966,383205.851338966,59.48384530211245,45.964572655371036,1.0,0.0,0.0,0.28984999999674227,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,4,cold_wave_extreme,fixed,1,49.15822651411171,18598.099775553743,18598.099775553743,46.57303643543081,0.0,0.0,0.6111555720369021,0.5776385641401515,162.99135416666863,0.7083333333333334,0.2916666666666667,0.0,0.7083333333333334
iql_adaptive_safety,iql,4,cold_wave_extreme,adaptive,1,48.41787919988283,17639.832589450267,17639.832589450267,22.008509412294202,0.0,0.0,0.4214581896861394,0.3974621621251438,177.60129166666636,0.7083333333333334,0.2916666666666667,0.7083333333333334,0.0
iql,iql,4,compound_extreme,none,1,64.9266379217752,541294.9596928472,541294.9596928472,72.57509096029239,64.9266379217752,1.0,0.0,0.0,0.29047083333466617,0.0,1.0,0.0,0.0
iql_ood_warning,iql,4,compound_extreme,ood_warning,1,64.9266379217752,541294.9596928472,541294.9596928472,72.57509096029239,64.9266379217752,1.0,0.0,0.0,0.2507708333325809,0.0,1.0,0.0,0.0
iql_fixed_safety,iql,4,compound_extreme,fixed,1,68.43282118745975,24302.806672516777,24302.806672516777,21.549035437978063,4.528399344394529e-08,0.0,0.6652000229805708,0.643668351999231,140.5026958333314,0.75,0.25,0.0,0.75
iql_adaptive_safety,iql,4,compound_extreme,adaptive,1,68.28881965677755,24429.39340628162,24429.39340628162,16.74677911115139,4.5281172589284324e-08,0.0,0.5909684325257937,0.5676167829698815,162.738145833328,0.75,0.25,0.75,0.0
